scenario_id,diagnostic_regime,actual_effective_velocity_m_s,predicted_effective_velocity_m_s,actual_effective_dispersion_m2_s,predicted_effective_dispersion_m2_s,actual_decay_rate_s_1,reported_decay_rate_s_1,field_rmse_normalized,field_mae_normalized,field_max_abs_error_normalized,spatial_nodes,time_nodes
ADR1D-0130,decay_only,0.313047480635,0.268345120921,1.19086969526,6.83870158468,1.73218554638e-05,6.4515358087e-06,0.0400362340016,0.00826730322022,0.425905199094,201,121
ADR1D-0240,retardation_and_decay,0.0543628971106,0.056772127424,0.505962641315,0.758299877966,9.3104886872e-06,8.24161627763e-06,0.0160644841871,0.00447337447038,0.0992703946224,201,121
ADR1D-0244,retardation_and_decay,0.0502125336398,0.0484455931445,0.750503644841,1.25012756419,2.24333077402e-06,4.15262083509e-06,0.0312112850372,0.0141985652979,0.142116297427,201,121
ADR1D-0279,retardation_and_decay,0.0377894204717,0.0412422481415,0.93861212617,0.89962572697,1.4006835655e-06,3.26895706748e-06,0.0270505068031,0.0123292817998,0.0980021640068,201,121
