scenario_id,split,diagnostic_regime,feature_source_concentration_mg_L,feature_source_start_s,feature_source_duration_s,target_effective_velocity_m_s,target_effective_dispersion_m2_s,target_decay_rate_s_1,target_decay_active,target_log10_effective_velocity,target_log10_effective_dispersion,target_log10_decay_rate_active,feature_s01_detection_fraction,feature_s01_peak_ratio,feature_s01_peak_time_since_source_s,feature_s01_first_detection_since_source_s,feature_s01_last_detection_since_source_s,feature_s01_normalized_area,feature_s01_centroid_since_source_s,feature_s01_temporal_spread_s,feature_s01_t10_since_source_s,feature_s01_t50_since_source_s,feature_s01_t90_since_source_s,feature_s02_detection_fraction,feature_s02_peak_ratio,feature_s02_peak_time_since_source_s,feature_s02_first_detection_since_source_s,feature_s02_last_detection_since_source_s,feature_s02_normalized_area,feature_s02_centroid_since_source_s,feature_s02_temporal_spread_s,feature_s02_t10_since_source_s,feature_s02_t50_since_source_s,feature_s02_t90_since_source_s,feature_s03_detection_fraction,feature_s03_peak_ratio,feature_s03_peak_time_since_source_s,feature_s03_first_detection_since_source_s,feature_s03_last_detection_since_source_s,feature_s03_normalized_area,feature_s03_centroid_since_source_s,feature_s03_temporal_spread_s,feature_s03_t10_since_source_s,feature_s03_t50_since_source_s,feature_s03_t90_since_source_s,feature_s04_detection_fraction,feature_s04_peak_ratio,feature_s04_peak_time_since_source_s,feature_s04_first_detection_since_source_s,feature_s04_last_detection_since_source_s,feature_s04_normalized_area,feature_s04_centroid_since_source_s,feature_s04_temporal_spread_s,feature_s04_t10_since_source_s,feature_s04_t50_since_source_s,feature_s04_t90_since_source_s,feature_s05_detection_fraction,feature_s05_peak_ratio,feature_s05_peak_time_since_source_s,feature_s05_first_detection_since_source_s,feature_s05_last_detection_since_source_s,feature_s05_normalized_area,feature_s05_centroid_since_source_s,feature_s05_temporal_spread_s,feature_s05_t10_since_source_s,feature_s05_t50_since_source_s,feature_s05_t90_since_source_s,feature_s06_detection_fraction,feature_s06_peak_ratio,feature_s06_peak_time_since_source_s,feature_s06_first_detection_since_source_s,feature_s06_last_detection_since_source_s,feature_s06_normalized_area,feature_s06_centroid_since_source_s,feature_s06_temporal_spread_s,feature_s06_t10_since_source_s,feature_s06_t50_since_source_s,feature_s06_t90_since_source_s
ADR1D-0001,train,conservative,0.274819502291,3513.44132358,2946.82492721,0.214614787236,8.5550649528,0,0,-0.668340357888,0.932223311193,,0.0408163265306,0.93290771062,1886.55867642,1886.55867642,3686.55867642,0.674304830978,2165.40501624,651.281913185,512.551143165,2165.40501624,3605.40501624,0.0408163265306,0.866207400183,1886.55867642,1886.55867642,3686.55867642,0.946332983361,2680.16340447,893.689009727,730.44087466,2680.16340447,4670.031283,0.0612244897959,0.939447649886,3686.55867642,1886.55867642,5486.55867642,1.04637230366,3276.10972626,1137.84301342,1145.97693889,3224.45486725,5246.03351841,0.0816326530612,0.838433404642,3686.55867642,1886.55867642,7286.55867642,0.997485827472,4242.76657212,1305.71136805,2142.11927909,4249.74873511,6543.26960863,0.0816326530612,0.797605969837,5486.55867642,3686.55867642,9086.55867642,1.00459288406,5254.18542073,1368.84940814,2959.94205043,5144.82288476,7349.60309166,0.0816326530612,0.742244975664,5486.55867642,3686.55867642,9086.55867642,0.987629875698,6045.7615557,1479.59370734,3822.63719226,6033.13873631,8515.24572055
ADR1D-0002,train,conservative,1.69231390158,2383.81867131,9709.18818816,0.30741287003,10.7324221308,0,0,-0.512277954448,1.03069774613,,0.122448979592,1.01648874669,6616.18132869,1216.18132869,10216.1813287,0.950405708511,5036.65392624,2680.69166345,1276.9993491,5025.62285555,8922.20117247,0.142857142857,1.00035609716,3016.18132869,1216.18132869,12016.1813287,1.02579002529,5660.53842342,2982.73565895,1478.61443729,5618.75587659,9912.08113809,0.142857142857,1.0446293628,3016.18132869,1216.18132869,12016.1813287,1.02483764283,6148.91018797,2931.8133116,1932.43537829,6154.37085838,10212.6960312,0.163265306122,1.03942940755,4816.18132869,1216.18132869,13816.1813287,0.977427786944,6816.28980531,2807.56918034,2925.84443946,6762.62638596,10883.511356,0.142857142857,1.0355098163,6616.18132869,3016.18132869,13816.1813287,0.997158252584,7424.95251067,2900.48355681,3352.28341049,7371.44481983,11591.8342395,0.142857142857,1.00519924646,6616.18132869,3016.18132869,13816.1813287,0.999531779014,8059.86595608,2951.20655362,3846.11798127,8030.01391228,12223.0686703
ADR1D-0003,train,conservative,1.17527390504,214.924827079,3073.89680485,0.271836651268,17.6774929917,0,0,-0.565691988478,1.24742067374,,0.0612244897959,1.00232033651,1585.07517292,1585.07517292,5185.07517292,0.821992750262,2113.10562902,848.244865065,289.249496559,2103.63708841,3972.67384803,0.0612244897959,0.896758018731,1585.07517292,1585.07517292,5185.07517292,1.06769986702,2557.55283672,1006.32154217,517.045033511,2530.11821009,4590.32118258,0.0816326530612,0.951091407362,3385.07517292,1585.07517292,6985.07517292,1.03909136145,2975.57334815,1197.22596741,811.357536872,2902.89376692,4969.02070632,0.0816326530612,0.861667855167,3385.07517292,1585.07517292,6985.07517292,0.981149228679,3666.73199105,1362.80087265,1628.19333837,3660.26005789,6016.89852256,0.102040816327,0.734730791484,3385.07517292,1585.07517292,8785.07517292,1.00057157468,4462.44249761,1420.29756189,2151.67791902,4396.89948605,6724.78534212,0.122448979592,0.830198906197,5185.07517292,1585.07517292,10585.0751729,1.02506963438,5176.4394727,1525.78631455,2790.28236349,5061.76980147,7644.89227579
ADR1D-0004,train,conservative,0.598006629652,1247.97887818,10659.3240213,0.108294393681,7.74729301187,0,0,-0.96539402589,0.889149981813,,0.183673469388,1.02725271247,5952.02112182,552.02112182,14952.0211218,0.994697762152,5922.67006235,3272.23121706,1333.21352699,5871.78146652,10531.1696394,0.204081632653,1.00561072141,7752.02112182,552.02112182,16752.0211218,0.996288381698,7609.96052599,3396.31515098,2893.57714433,7594.80477102,12300.444924,0.224489795918,0.949331934147,7752.02112182,2352.02112182,20352.0211218,0.979748116287,8953.70193584,3729.34420794,3938.14008792,8860.28426311,14048.9828835,0.244897959184,0.951296133545,11352.0211218,2352.02112182,22152.0211218,0.987766035801,10790.2600124,3991.20046386,5392.91608048,10712.9428658,16184.6756554,0.265306122449,0.934304955989,13152.0211218,4152.02112182,25752.0211218,0.986832709045,12676.6817705,4276.46478062,6964.23154085,12550.8149193,18408.7526355,0.285714285714,0.893349089566,13152.0211218,4152.02112182,27552.0211218,0.979901619761,14472.2167058,4515.67701799,8504.43632679,14276.4132641,20551.7591509
ADR1D-0005,train,conservative,0.445478282451,615.412095864,7964.16631172,0.0913477036518,4.27962244058,0,0,-1.0393023657,0.631405456115,,0.142857142857,1.02851865715,4784.58790414,1184.58790414,11984.5879041,1.020864711,4988.87128708,2563.15434486,1374.34818816,4956.41748182,8639.10143564,0.163265306122,0.968444414128,6584.58790414,1184.58790414,13784.5879041,0.981802343279,6645.89055121,2737.5780186,2926.38917755,6596.55230928,10459.9211785,0.183673469388,0.97705186907,8384.58790414,2984.58790414,17384.5879041,0.975156994471,8283.7748338,3026.39883115,4099.37522095,8197.43813247,12476.3444323,0.224489795918,0.899324777026,10184.5879041,2984.58790414,20984.5879041,1.01042167022,10485.1319542,3392.44920301,5971.47298772,10339.5183207,15124.1198272,0.224489795918,0.891850002905,11984.5879041,4784.58790414,22784.5879041,0.998948609538,12701.8553589,3622.19885524,7883.6858025,12549.27461,17667.4316415,0.244897959184,0.814615910251,13784.5879041,6584.58790414,26384.5879041,0.992761640271,14852.1360132,3917.67493017,9738.96634191,14623.1473599,20297.7628329
ADR1D-0006,train,conservative,0.334452550647,1854.5846171,6072.12383467,0.1014209829,1.19409789515,0,0,-0.993872184895,0.0770399328073,,0.0816326530612,1.02919520727,3545.4153829,1745.4153829,7145.4153829,0.961816617057,3988.48119944,1745.1699551,1272.40444278,3950.67687119,6733.94736446,0.102040816327,0.997754968451,5345.4153829,1745.4153829,8945.4153829,0.973802706075,5483.95422205,1854.33096869,2596.32599072,5483.56045613,8350.59109376,0.102040816327,1.00634355225,7145.4153829,3545.4153829,10745.4153829,1.00802363218,6964.51608405,1974.33832256,3980.06833291,6976.74774079,9977.44591141,0.122448979592,0.983050218711,8945.4153829,5345.4153829,14345.4153829,0.991194820958,8951.47092511,2100.78286757,5844.57930652,8929.28018639,12066.2103275,0.122448979592,0.9945465395,10745.4153829,7145.4153829,16145.4153829,0.976865231612,10967.3150738,2160.3838256,7770.65186502,10954.4070011,14089.6572926,0.122448979592,0.931624359106,12545.4153829,8945.4153829,17945.4153829,0.963429591601,12914.7875013,2225.6224754,9649.26110321,12874.4686262,16084.9217294
ADR1D-0007,train,conservative,1.34476154581,1556.78734329,7182.21840556,0.279361890432,3.1236298445,0,0,-0.553832839109,0.494659563613,,0.102040816327,1.01884849139,5643.21265671,243.21265671,7443.21265671,0.994447771071,4214.225137,2152.72228703,967.149958984,4220.15877635,7319.27491506,0.0816326530612,1.00429198251,3843.21265671,2043.21265671,7443.21265671,0.992946175532,4726.69033962,2015.15792417,1669.1157515,4715.87885625,7798.86055719,0.102040816327,1.01203279695,5643.21265671,2043.21265671,9243.21265671,0.987686395325,4855.85313584,2050.31470191,1762.7691484,4875.77869248,7966.24507086,0.102040816327,0.988555783664,3843.21265671,2043.21265671,9243.21265671,0.98076098847,5741.78777054,2227.35731833,2464.16223193,5733.4814372,8987.79216904,0.122448979592,1.00882930959,7443.21265671,2043.21265671,11043.2126567,0.998155868518,6583.85621143,2049.74602779,3487.10286342,6596.34307879,9682.45058954,0.102040816327,1.00683944585,5643.21265671,3843.21265671,11043.2126567,0.996237844873,7006.89632132,2156.20286882,3913.47412552,6997.60930575,10266.7288858
ADR1D-0008,train,conservative,0.542356679728,1811.9254238,6188.84213299,0.0543436443295,2.41237315663,0,0,-1.2648512408,0.38244448727,,0.142857142857,0.975724245853,5388.0745762,1788.0745762,12588.0745762,0.998331471678,4883.01772675,2310.73928642,1802.15548029,4740.0077674,8240.7921404,0.183673469388,0.883366679426,7188.0745762,1788.0745762,16188.0745762,0.984740524517,7518.37276943,2954.29663185,3728.5786347,7272.71812683,11782.9703187,0.224489795918,0.719491247101,8988.0745762,3588.0745762,21588.0745762,0.975215875375,10329.6348488,3609.4924192,5792.84782524,9961.26607554,15446.7433458,0.265306122449,0.619739034752,12588.0745762,5388.0745762,26988.0745762,1.00292644462,13967.3715147,4288.58915658,8680.71826778,13501.8218627,19929.516398,0.30612244898,0.513726960082,16188.0745762,7188.0745762,32388.0745762,0.993567547982,17640.0076297,4925.44585736,11496.445355,17144.6969084,24567.5061289,0.30612244898,0.485288491076,19788.0745762,10788.0745762,35988.0745762,0.994855435464,21201.7589882,5255.33578991,14635.8727339,20695.9977363,28554.7639911
ADR1D-0009,train,conservative,2.11991671411,3590.29371954,8652.15603737,0.133662119865,5.64435597335,0,0,-0.8739916553,0.751614395654,,0.142857142857,0.975235043226,7209.70628046,1809.70628046,12609.7062805,0.940612306355,5347.91488912,2512.39742763,1823.30596071,5329.8341352,8912.92681268,0.163265306122,0.994959590781,7209.70628046,1809.70628046,14409.7062805,0.99323093398,6205.77031208,2743.45198084,2268.60548637,6232.67418381,10087.2301244,0.183673469388,0.976013262398,9009.70628046,1809.70628046,16209.7062805,0.994764899645,7295.38144979,2872.54140793,3283.49749036,7277.69781114,11322.4677813,0.204081632653,0.999789494409,10809.7062805,1809.70628046,18009.7062805,0.991379508937,8813.11167779,2993.14943636,4587.14383665,8815.81706993,12881.2037068,0.224489795918,0.9595158621,10809.7062805,3609.70628046,21609.7062805,0.981968754413,10318.7227925,3168.56304809,5967.28577424,10260.5989066,14599.0185439,0.244897959184,0.948147707663,12609.7062805,3609.70628046,23409.7062805,0.989786969155,11797.6909426,3272.00021687,7402.19906954,11728.6250973,16157.5438929
ADR1D-0010,validation,conservative,3.19235431838,2940.1709406,9277.0123412,0.147980878697,4.19306311709,0,0,-0.829794398206,0.622531399775,,0.142857142857,1.01800918007,6059.8290594,659.8290594,11459.8290594,1.03429472801,5272.1168131,2872.09103042,1147.12984614,5298.60798916,9327.05641403,0.163265306122,1.03969757035,9659.8290594,659.8290594,13259.8290594,0.99461114098,6432.78431402,2716.36982368,2586.32438529,6465.44723336,10325.5139698,0.163265306122,1.01486110283,7859.8290594,2459.8290594,15059.8290594,1.01276118618,7281.23529138,2891.42466,3145.21766625,7281.58899547,11296.0835828,0.183673469388,1.01163534099,9659.8290594,2459.8290594,16859.8290594,1.01114855371,8727.11687451,2938.13465168,4623.2900179,8706.7010813,12849.4387314,0.183673469388,1.01388617976,11459.8290594,4259.8290594,18659.8290594,0.996214290872,10061.1468324,3012.32079901,5909.77794706,10046.8506726,14301.4315238,0.204081632653,0.963597147754,11459.8290594,4259.8290594,20459.8290594,0.995370714231,11349.1890384,3122.16273442,6981.44697704,11316.2987154,15728.8220741
